scenarioname,itemname,itemorder,notes,RunTime
SOIP Optimize (12 Month),Storage - No Returns,12,,2023-04-14 13:17:22
SOIP Optimize (12 Month),No Returns to Manufacturing,13,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Puerto Rico Returns - Keep to SOIP,14,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Multi Source - Customers - (1) Exclude Lanes,15,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Multi Source - Customers - (2) Include MS Options,16,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Multi Source - Customers - (3) Keep SS Constraint,17,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Multi Source - Distributors - (1) Exclude Lanes,18,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Multi Source - Distributors - (2) Include MS Options,19,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Multi Source - Distributors - (3) Keep SS Constraint,20,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Block_X_Country_USA_Returns,21,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Block_X_CountryMoves_CAN_Issues,22,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Block_X_Country_Moves_USA_Issues,23,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Block_X_Country_CAN_Returns,24,,2023-04-14 13:17:22
SOIP Optimize (12 Month),SOIP Run - Include Plan Issues,25,,2023-04-14 13:17:22
SOIP Optimize (12 Month),SOIP Run - Include Plan Returns,26,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Monthly Repair Variance - 010 - Production,27,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Annual Repair Variance - 020 - Expression - Next 12,28,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Annual Repair Variance - 020 - Expression - Next 12_supporting_item,29,,2023-04-14 13:17:22
SOIP Optimize (12 Month),FQ Anderson Operational Sourcing,30,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Dallas Option For MFG Renters,31,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Dedicated and CPU Lanes - Issues,32,,2023-04-14 13:17:22
SOIP (12 Month),Set Repair Capacity,1,,2023-04-14 13:17:22
SOIP Optimize (12 Month),Dedicated and CPU Lanes - Returns,33,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Set Depot Capacity,0,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Set Repair Capacity,1,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,No Inventory At Renter Distributor Sorts,2,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Min Repair As Day Mins By Month,3,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Max WIP Inventory - Inventory Constraints,4,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Max WIP Inventory - Expression Constraints,5,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Max WIP Inventory - Expression Constraints_supporting_item,6,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Max WIP Inventory - Expression Constraints Adjust max,7,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Monthly Adj - Add Storage at MFG,8,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Issues - Optimization,9,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Returns - Optimization,10,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Storage - No Issues,11,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Storage - No Returns,12,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,No Returns to Manufacturing,13,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Puerto Rico Returns - Keep to SOIP,14,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Multi Source - Customers - (1) Exclude Lanes,15,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Multi Source - Customers - (2) Include MS Options,16,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Multi Source - Customers - (3) Keep SS Constraint,17,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Multi Source - Distributors - (1) Exclude Lanes,18,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Multi Source - Distributors - (2) Include MS Options,19,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Multi Source - Distributors - (3) Keep SS Constraint,20,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Block_X_Country_USA_Returns,21,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Block_X_CountryMoves_CAN_Issues,22,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Block_X_Country_Moves_USA_Issues,23,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Block_X_Country_CAN_Returns,24,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,SOIP Run - Include Plan Issues,25,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,SOIP Run - Include Plan Returns,26,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Monthly Repair Variance - 010 - Production,27,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Annual Repair Variance - 020 - Expression - Next 12,28,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Annual Repair Variance - 020 - Expression - Next 12_supporting_item,29,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,FQ Anderson Operational Sourcing,30,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Dallas Option For MFG Renters,31,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Dedicated and CPU Lanes - Issues,32,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Dedicated and CPU Lanes - Returns,33,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Exclude_Customer_81399,34,,2023-04-14 13:17:22
SOIP Optimized ? Less 81399,Update_production_constraints_81399,35,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Set Depot Capacity,0,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Set Repair Capacity,1,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,No Inventory At Renter Distributor Sorts,2,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Min Repair As Day Mins By Month,3,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Max WIP Inventory - Inventory Constraints,4,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Max WIP Inventory - Expression Constraints,5,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Max WIP Inventory - Expression Constraints_supporting_item,6,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Max WIP Inventory - Expression Constraints Adjust max,7,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Monthly Adj - Add Storage at MFG,8,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Issues - Optimization,9,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Returns - Optimization,10,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Storage - No Issues,11,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Storage - No Returns,12,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,No Returns to Manufacturing,13,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Puerto Rico Returns - Keep to SOIP,14,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Multi Source - Customers - (1) Exclude Lanes,15,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Multi Source - Customers - (2) Include MS Options,16,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Multi Source - Customers - (3) Keep SS Constraint,17,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Multi Source - Distributors - (1) Exclude Lanes,18,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Multi Source - Distributors - (2) Include MS Options,19,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Multi Source - Distributors - (3) Keep SS Constraint,20,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Block_X_Country_USA_Returns,21,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Block_X_CountryMoves_CAN_Issues,22,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Block_X_Country_Moves_USA_Issues,23,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Block_X_Country_CAN_Returns,24,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,SOIP Run - Include Plan Issues,25,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,SOIP Run - Include Plan Returns,26,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Monthly Repair Variance - 010 - Production,27,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Annual Repair Variance - 020 - Expression - Next 12,28,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Annual Repair Variance - 020 - Expression - Next 12_supporting_item,29,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,FQ Anderson Operational Sourcing,30,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Dedicated and CPU Lanes - Issues,32,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Dedicated and CPU Lanes - Returns,33,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Exclude_Customer_81384,34,,2023-04-14 13:17:22
SOIP Optimized ? Less 81384,Update_production_constraints_81384,35,,2023-04-14 13:17:22
